id,name,lat,lng,category,description,author,difficulty,favorite,date_added,region
-OlNvrYRuAAUbMJ4Jj_5,Melba Vista Tunnel,33.1303865,-117.1892401,tunnel,watch for homeless,Anonymous,0,False,2026-02-13 13:39:27,California
-OlO01UXtDpskROPH7oH,Abandoned building,38.289011,-122.29854,building,hole in fence,Anonymous,0,False,2026-02-13 14:02:03,California
-OlO0IzTST4oZ8bchySM,abandoned house,38.193021,-122.31567,house,,Anonymous,0,False,2026-02-13 14:03:15,California
-OlO0XLOKJpzq3hAsrPR,bando shed,36.635141,-119.65246,building,,Anonymous,0,False,2026-02-13 14:04:13,California
-OlO0joibtSOzlU4cbMX,abandoned house,36.634681,-119.63693,house,low-key decomposing so be careful,Anonymous,0,False,2026-02-13 14:05:09,California
-OlO1ME3nmcUjESo4oqr,Frank J. Craycroft Home,36.8327,-119.809032,house,,Anonymous,0,False,2026-02-13 14:07:50,California
-OlO1cRnGUr33HjE9cTY,Abandoned Bridge,36.9915,-119.71379,other,"Broken bridge, collapsed in a flood decades ago lots of cool grafitti, 0 security as far as I'm aware, go visit if you are in the area, especially at night, the stars are beautiful, poetry night here would go hard.",Anonymous,0,False,2026-02-13 14:09:00,California
-OlO211ECjG49-03VJP6,possibly abandoned building,36.18815,-119.83025,building,Idk if it is,Anonymous,0,False,2026-02-13 14:10:45,California
-OlO2FtyJZ86Ja1-DArC,🏚️,36.18815,-119.83025,house,,Anonymous,0,False,2026-02-13 14:11:46,California
-OlO3AN3f6eWLiVbYhdU,truckstop bando,36.254901,-120.247041,,,Anonymous,,False,2026-02-13 14:15:45,California
-OlOEiuFF_e1vYZ14_sI,Green Home,32.6710043,-117.2389011,house,,Anonymous,3,False,2026-02-13 15:03:42,California
-OlOG9vM1gSHWzTu29bT,graffiti slab,33.1230469,-117.2629664,other,,Anonymous,1,False,2026-02-13 15:09:59,California
-OlOH5iwyZyp14fBH4Te,Dam,33.1176086,-117.2496406,other,,Anonymous,1,False,2026-02-13 15:14:04,California
-OlOIKlvZSaZTouIFPFR,Water reservoir,32.9854018,-117.1276388,building,"You have to find a gate at the general enterance. You can park at the nearby soccer park. From there find the gate. It is one of those electronic gates only meant to keep out cars so just go over under around or through it. Keep hiking and you will come to a barbed wire fence. Veer to the right and you will find a part of the fence where the barbed wire is cut (likely from a less respectful explorer). From there you can jump that fence easily and head over to the water reservoir. There are three interesting unlocked things. That being the big house like structure with pipes and gears and steam. The second being from an unlocked hatch on the big concrete plane that goes down to some sort of pool of water and odd columns (that is what is pictured in OP’s pictures. Also you can easily climb on top of the reservoir by finding a ladder closed off by a cylindrical locked block for like five feet. Just jump on top of it and then climb the rest of the ladder in order to get to the top of the tower. I couldn’t find a safe way to get inside as the only unlocked opening is at the top of the reservoir and jumping down would be far too hazardous. Great spot for San Diego though. Just enter with caution as there are some security features such as occasional cameras. However, the circuit breaker for the cameras are right beside the cameras themselves so it is not difficult to turn them off.",Anonymous,5,False,2026-02-13 15:19:28,California
-OlORAPM6DiJPxfkHYss,Abandoned House,33.1947246,-117.240129,house,,Anonymous,2,False,2026-02-13 15:58:04,California
-OlORSdTWglJRJojrJch,Abandoned Chinese Buffet,33.2132005,-117.2290157,building,,Anonymous,3,False,2026-02-13 15:59:19,California
-OlORoDkDeQYV26u5PQX,Boarded Grocery Store,33.1942315,-117.2322246,building,,Anonymous,5,False,2026-02-13 16:00:52,California
-OlOSElFF0-qp07GJzer,Giant cell tower,33.4307746,-117.5971686,rooftop,Be hella careful it’s super active and u could fall so be careful,Anonymous,5,False,2026-02-13 16:02:44,California
-OlOTF7dW31bPAW9nm8f,Abandoned house,33.4669126,-117.1395296,house,,Anonymous,0,False,2026-02-13 16:07:08,California
-OlOT_bNRHSM63qXqKeb,Tunnel,33.5826,-117.6372,tunnel,,Anonymous,1,False,2026-02-13 16:08:36,California
-OlP9qL-sqYmAbfQxUPV,Abandoned Mansion,32.8062424,-117.2615271,house,,Anonymous,2,False,2026-02-13 19:21:59,California
-OlPAdNiDOqr6Um-0Kor,Untouched Charter School,33.1196967,-117.0815811,building,,Anonymous,4,False,2026-02-13 19:25:28,California
-OlPBIEKW_BqihA17vn1,KC Tunnel,33.07205,-117.06389,tunnel,don’t go after it rains,Anonymous,2,False,2026-02-13 19:28:19,California
-OlPBrZORgySxj7Rk1m6,Tunnel,33.151979,-117.0359294,tunnel,,Anonymous,1,False,2026-02-13 19:30:48,California
-OlPCbUEaWSoxXXgA_dA,Abandoned Barn,33.1801861,-117.0503955,house,Great hiking and mountain biking trails plus some cool old buildings.,Anonymous,0,False,2026-02-13 19:34:05,California
-OlPDUDVhmTw54rkvqFO,Abandoned House,33.5630916,-117.2178799,house,,Anonymous,0,False,2026-02-13 19:37:53,California
-OlPF9NpsEJLIPRl8XtP,Abandoned Zoo,34.1368,-118.2935,,Sick spot and its actually legal to go to,Anonymous,,False,2026-02-13 19:47:45,California
-OlPFTHWgg0NONLIucXq,Abandoned Zoo,34.133973,-118.288596,building,sick spot and its legal to go to!,Anonymous,1,True,2026-02-13 19:49:06,California
-OlSrpiCceGVWKjPxx9a,Old Dam,32.9966875,-116.7965689,,,Anonymous,,False,2026-02-14 12:37:25,California
-OlSwss9kl_iw13WOLBh,Abandoned Cabo Grill,33.0817426,-117.3088585,building,,Anonymous,2,False,2026-02-14 12:59:28,California
-OlSxHJ9nLRDG9D6y2sq,Abandoned House + Shop,33.0581665,-117.2793799,,,Anonymous,,False,2026-02-14 13:01:12,California
-OlSx_8kZrJnHTODLH87,abandoned house + shop,33.0581665,-117.2793799,house,"Went today, pretty cool for pictures, top floor stairs are gone. Used a wood plank to climb ip, better to go with someone for support. Careful of people around tho could be lurking like evil gooners",Anonymous,1,False,2026-02-14 13:02:30,California
-OlSyaC4nr4HZCeP5mVy,view point,33.4871482,-117.1607009,other,,Anonymous,1,False,2026-02-14 13:06:56,California
-OlT0aulhyjTktQCXuL5,Abandoned Juvenille Detention Center,33.91195,-118.0613,building,Be respectful of the property,Anonymous,3,True,2026-02-14 13:20:05,California
-OlT19FykemLDD3G3jeL,Dana Point Caves,33.46119,-117.71569,other,,Anonymous,1,False,2026-02-14 13:22:30,California
-OlT2-mveH2tAvHOfmwe,Graffiti Hill,33.5261,-117.6806,other,Park on camino los padres st and then go on the trail on the left side of the dead end,Anonymous,1,False,2026-02-14 13:26:13,California
-OlT2QQbbpO7ILOM4od-,Abandoned WWII bunker,33.56,-117.8126,building,This is actually legal now i beliebe,Anonymous,3,False,2026-02-14 13:28:03,California
-OlT2vsqvwb7x6Z5w4dB,Abandoned Marine Base,33.6762,-117.7238,building,THIS IS SUPER DANGEROUS SPOT,Anonymous,5,False,2026-02-14 13:30:16,California
-OlT3kMHmJTxvyHS1JhZ,Wetlands Graffiti Tunnel,33.70689,-118.04558,tunnel,Crawl under the fence,Anonymous,0,False,2026-02-14 13:33:50,California
-OlT41FAqo8Yo0Gs18kI,Insane Asylum,33.92336,-118.16229,building,Super sick,Anonymous,0,False,2026-02-14 13:35:04,California
-OlT4Xb8UP82QjFSNCQb,Abandoned Subterranean Water Storage,34.0067,-117.9986,building,"Has amazing graffiti, u have to go on a short hike and hop a fence",Anonymous,2,False,2026-02-14 13:37:16,California
-OlT4tBPIYR0svVcWBIg,Abandoned Hospital,34.16819,-118.09613,building,Prob security idk when i went there wasn’t hop a fence tho but other then that sick spot super massive,Anonymous,4,False,2026-02-14 13:38:49,California
-OlT5PPcJ29amaGz90tl,Abandoned Murphy Ranch,34.07033,-118.51441,house,Used to be a nazi encampment. Now is a community art gallery. It’s a link trek to get there but totally worth it.,Samuel Berkinballs,1,True,2026-02-14 13:41:05,California
-OlT60U4OeWRNhuZGryi,Hawthorn Abandoned Mall,33.92102,-118.35172,building,go at night usually tweakers,Anonymous,3,True,2026-02-14 13:43:45,California
-OlT8L5ks5bhxNGVfOte,abandoned fort,34.106,-118.91545,building,bring water it’s a long hike,Anonymous,0,False,2026-02-14 13:53:54,California
